reaction,value
SFGTHi,Sfglutth_c + h2o_c --> gthrd_c + for_c + h_c
ALAtex,ala__L_e <=> ala__L_p
Zn2tex,zn2_e <=> zn2_p
GP4GH,h2o_c + gp4g_c --> 2 h_c + 2 gdp_c
EX_skm_e,skm_e --> 
COLIPAPabctex,h2o_c + colipap_p + atp_c --> colipap_e + h_c + pi_c + adp_c
EX_cynt_e,cynt_e --> 
NMNN,h2o_c + nmn_c --> r5p_c + h_c + ncam_c
CPPPGO2,2 amet_c + cpppg3_c --> 2 co2_c + 2 met__L_c + 2 dad__5_c + pppg9_c
TDSK,atp_c + lipidAds_c --> lipidA_c + h_c + adp_c
EX_dtmp_e,dtmp_e --> 
FHL,h_c + for_c --> h2_c + co2_c
CD2tpp,cd2_p --> cd2_c
FE3HOXabcpp,h2o_c + fe3hox_p + atp_c --> h_c + fe3hox_c + adp_c + pi_c
THD2pp,2 h_p + nadh_c + nadp_c --> nad_c + 2 h_c + nadph_c
ACMUMptspp,pep_c + acmum_p --> acmum6p_c + pyr_c
FEOXAMUtpp,h_p + feoxam__un_c --> h_c + feoxam__un_p
DURIK1,atp_c + duri_c --> dump_c + h_c + adp_c
ACGAL1Ptex,acgal1p_e <=> acgal1p_p
TSULtex,tsul_e <=> tsul_p
3NTD9pp,3gmp_p + h2o_p --> pi_p + gsn_p
EX_feoxam__un_e,feoxam__un_e --> 
ACACT2r,accoa_c + btcoa_c <=> 3ohcoa_c + coa_c
FE3HOXR1,fadh2_c + 2 fe3hox_c --> 2 fe2_c + fad_c + 2 h_c + 2 fe3hox__un_c
TARTD,tartr__L_c --> oaa_c + h2o_c
FE3HOXR3,2 fe3hox_c + rbflvrd_c --> 2 fe2_c + ribflv_c + 2 h_c + 2 fe3hox__un_c
FE3HOXR2,fmnh2_c + 2 fe3hox_c --> 2 fe2_c + 2 h_c + fmn_c + 2 fe3hox__un_c
PYDAMK,pydam_c + atp_c --> pyam5p_c + h_c + adp_c
EX_ethso3_e,ethso3_e --> 
METTRS,met__L_c + trnamet_c + atp_c --> amp_c + mettrna_c + ppi_c
GLCabcpp,h2o_c + atp_c + glc__D_p --> h_c + glc__D_c + pi_c + adp_c
PA181abcpp,h2o_c + pa181_c + atp_c --> h_c + pi_c + adp_c + pa181_p
FUSAtex,fusa_e <=> fusa_p
ACGAL1PPpp,acgal1p_p + h2o_p --> pi_p + acgal_p
SHCHCS3,2sephchc_c --> 2shchc_c + pyr_c
HKNTDH,h2o_c + hkntd_c --> op4en_c + h_c + fum_c
12DGR120tipp,12dgr120_p --> 12dgr120_c
PTRCt2pp,ptrc_p + h_p --> ptrc_c + h_c
EX_galct__D_e,galct__D_e --> 
UPLA4FNT,udcpp_c + udpLa4fn_c --> udp_c + uLa4fn_c
LPLIPAL2G180,2agpg180_c + h2o_c --> ocdca_c + g3pg_c + h_c
LPLIPAL2G181,2agpg181_c + h2o_c --> h_c + g3pg_c + ocdcea_c
GUI2,galur_c <=> tagur_c
GUI1,glcur_c <=> fruur_c
MCTP2App,murein5p5p5p_p --> 2 ala__D_p + murein5px4px4p_p
GLUtex,glu__L_e <=> glu__L_p
MDDCP2pp,murein5px4px4p_p + h2o_p --> murein4px4px4p_p + ala__D_p
MALTHXtexi,malthx_e --> malthx_p
THMDtex,thymd_e <=> thymd_p
NMNt7pp,h2o_c + nmn_p --> r5p_c + h_c + ncam_c
EX_acnam_e,acnam_e --> 
X5PL3E,xu5p__L_c --> ru5p__L_c
NTPP1,h2o_c + dgtp_c --> h_c + dgmp_c + ppi_c
GALTtex,galt_e <=> galt_p
AGPAT140,1tdecg3p_c + myrsACP_c --> ACP_c + pa140_c
AGPAT141,1tdec7eg3p_c + tdeACP_c --> pa141_c + ACP_c
GLNS,nh4_c + glu__L_c + atp_c --> gln__L_c + h_c + pi_c + adp_c
PPALtpp,ppal_c <=> ppal_p
MDDEP3pp,murein5px4p_p + h2o_p --> murein5p4p_p
ALLK,all__D_c + atp_c --> adp_c + h_c + all6p_c
LALDO3,mthgxl_c + h_c + nadph_c --> lald__L_c + nadp_c
SLNTtpp,h_p + slnt_p --> h_c + slnt_c
MNt2pp,h_p + mn2_p --> mn2_c + h_c
PLIPA1E160pp,h2o_p + pe160_p --> hdca_p + h_p + 2agpe160_p
EX_so2_e,so2_e --> 
RBFK,ribflv_c + atp_c --> fmn_c + h_c + adp_c
OPHHX,2oph_c + 0.5 o2_c --> 2ohph_c
GGPTRCO,ggptrc_c + h2o_c + o2_c --> h2o2_c + nh4_c + ggbutal_c
ACNAMtex,acnam_e <=> acnam_p
CGLYtex,cgly_e <=> cgly_p
EX_thymd_e,thymd_e --> 
HYXNtpp,hxan_p <=> hxan_c
2AGPA120tipp,2ddecg3p_p --> 2ddecg3p_c
SUCptspp,pep_c + sucr_p --> pyr_c + suc6p_c
CPH4S,h2o_c + ahdt_c --> pppi_c + h_c + cph4_c + acald_c
HYD1pp,h2_c + 2 h_c + q8_c --> 2 h_p + q8h2_c
UDPGPpp,h2o_p + udpg_p --> g1p_p + 2 h_p + ump_p
CBItonex,cbi_e + h_p --> cbi_p + h_c
TRDR,nadph_c + trdox_c + h_c --> trdrd_c + nadp_c
2DGULRGy,nadph_c + 2dhguln_c + h_c --> glcn_c + nadp_c
2DGULRGx,2dhguln_c + h_c + nadh_c --> nad_c + glcn_c
DOPAtex,dopa_e <=> dopa_p
2AGPG180tipp,2agpg180_p --> 2agpg180_c
NDPK4,dtdp_c + atp_c <=> dttp_c + adp_c
GTHRDtex,gthrd_e <=> gthrd_p
AGMtex,agm_e <=> agm_p
WCOS,2 h_c + mptamp_c + tungs_c --> h2o_c + cu2_c + wco_c + amp_c
METS,5mthf_c + hcys__L_c --> met__L_c + thf_c + h_c
KDOCT2,kdo_c + ctp_c --> ppi_c + ckdo_c
O16AP1pp,2 o16aund_p --> h_p + udcpdp_p + o16a2und_p
EX_imp_e,imp_e --> 
ACOLIPAabctex,h2o_c + atp_c + acolipa_p --> h_c + acolipa_e + pi_c + adp_c
PROD2,pro__L_c + fad_c --> 1pyr5c_c + fadh2_c + h_c
REPHACCOAI,rephaccoa_c <=> 2oxpaccoa_c
EX_nac_e,nac_e --> 
G3PStex,g3ps_e <=> g3ps_p
ENLIPAabctex,h2o_c + atp_c + enlipa_p --> pi_c + adp_c + h_c + enlipa_e
PSCLYStex,psclys_e <=> psclys_p
HOMtex,hom__L_e <=> hom__L_p
XYLabcpp,h2o_c + atp_c + xyl__D_p --> xyl__D_c + adp_c + h_c + pi_c
PE120abcpp,h2o_c + atp_c + pe120_c --> h_c + pi_c + pe120_p + adp_c
TAGURr,nad_c + altrn_c <=> tagur_c + nadh_c + h_c
GBBTNtex,gbbtn_e <=> gbbtn_p
EX_glc_e,glc__D_e --> 
GLYCDx,nad_c + glyc_c --> nadh_c + dha_c + h_c
RBP4E,ru5p__L_c <=> xu5p__D_c
CHTBStex,chtbs_e <=> chtbs_p
ARBTNabcpp,h2o_c + atp_c + arbtn__fe3_p --> h_c + arbtn__fe3_c + pi_c + adp_c
EX_3hcinnm_e,3hcinnm_e --> 
ACOAD4f,fad_c + dcacoa_c <=> fadh2_c + dc2coa_c
GALS3,h2o_c + melib_c --> gal_c + glc__D_c
DMStex,dms_e <=> dms_p
URAt2rpp,h_p + ura_p <=> h_c + ura_c
XYLK,atp_c + xylu__D_c --> adp_c + xu5p__D_c + h_c
U23GAAT,3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c
AMPN,amp_c + h2o_c --> r5p_c + ade_c
FE3HOXexs,fe3hox__un_e + fe3_e --> fe3hox_e
DXYLK,dxyl_c + atp_c --> dxyl5p_c + adp_c + h_c
PAPPT3,udcpp_c + ugmda_c --> uagmda_c + ump_c
3HCINNMH,nadh_c + h_c + o2_c + 3hcinnm_c --> h2o_c + dhcinnm_c + nad_c
ORNabcpp,orn_p + atp_c + h2o_c --> orn_c + h_c + pi_c + adp_c
PG160abcpp,h2o_c + atp_c + pg160_c --> pi_c + pg160_p + adp_c + h_c
FLVR,nadph_c + h_c + ribflv_c --> rbflvrd_c + nadp_c
NADPHQR3,nadph_c + h_c + mqn8_c --> mql8_c + nadp_c
NADPHQR4,nadph_c + h_c + 2dmmq8_c --> 2dmmql8_c + nadp_c
EX_gtp_e,gtp_e --> 
HG2tex,hg2_e <=> hg2_p
ADOCBLS,agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c
DM_5DRIB,5drib_c --> 
MLTGY3pp,murein3p3p_p --> 2 anhgm3p_p
LADGMDH,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c
DDGALK,atp_c + 2dh3dgal_c --> adp_c + 2dh3dgal6p_c + h_c
CPGNabcpp,h2o_c + cpgn_p + atp_c --> h_c + cpgn_c + pi_c + adp_c
ECAP1pp,2 unagamuf_p --> udcpdp_p + h_p + eca2und_p
3OAR80,h_c + nadph_c + 3ooctACP_c <=> 3hoctACP_c + nadp_c
AACPS4,hdcea_c + atp_c + ACP_c --> hdeACP_c + amp_c + ppi_c
O16A4COLIPAabctex,h2o_c + atp_c + o16a4colipa_p --> o16a4colipa_e + adp_c + h_c + pi_c
EAR140y,tmrs2eACP_c + h_c + nadph_c --> myrsACP_c + nadp_c
DCYTD,h2o_c + dcyt_c + h_c --> duri_c + nh4_c
SELGTHR,2 h_c + slnt_c + 4 gthrd_c --> 3 h2o_c + gthox_c + dgslnt_c
EX_fe3hox__un_e,fe3hox__un_e --> 
AP5AH,ap5a_c + h2o_c --> adp_c + 2 h_c + atp_c
MGSA,dhap_c --> mthgxl_c + pi_c
IDONtex,idon__L_e <=> idon__L_p
DTARTD,tartr__D_c --> oaa_c + h2o_c
AB6PGH,arbt6p_c + h2o_c --> hqn_c + g6p_c
RNDR2b,grxrd_c + gdp_c --> h2o_c + grxox_c + dgdp_c
BTS5,dtbt_c + 2fe2s_c + amet_c --> h_c + btn_c + met__L_c + dad__5_c + 2fe1s_c
EX_gmp_e,gmp_e --> 
TYRtex,tyr__L_e <=> tyr__L_p
HDCAtexi,hdca_e --> hdca_p
SBTptspp,sbt__D_p + pep_c --> sbt6p_c + pyr_c
MOBDtex,mobd_e <=> mobd_p
FACOAE100,dcacoa_c + h2o_c --> h_c + dca_c + coa_c
ADD,h2o_c + h_c + ade_c --> hxan_c + nh4_c
ADA,adn_c + h2o_c + h_c --> ins_c + nh4_c
GALCTND,galctn__D_c --> 2dh3dgal_c + h2o_c
GLCDpp,glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c
FDH4pp,for_p + 2 h_c + q8_c --> h_p + q8h2_c + co2_p
EDTXS4,kdo2lipid4p_c + myrsACP_c --> ACP_c + lipa_cold_c
EDTXS1,ddcaACP_c + kdo2lipid4_c --> kdo2lipid4L_c + ACP_c
EDTXS2,myrsACP_c + kdo2lipid4L_c --> lipa_c + ACP_c
EDTXS3,kdo2lipid4_c + hdeACP_c --> kdo2lipid4p_c + ACP_c
LALALGLUtex,LalaLglu_e <=> LalaLglu_p
OPHBDC,3ophb_c + h_c --> 2oph_c + co2_c
ASPabcpp,h2o_c + atp_c + asp__L_p --> asp__L_c + h_c + pi_c + adp_c
FA120ACPHi,ddcaACP_c + h2o_c --> ddca_c + h_c + ACP_c
CYSTL,cyst__L_c + h2o_c --> pyr_c + nh4_c + hcys__L_c
GTHPi,h2o2_c + 2 gthrd_c --> 2 h2o_c + gthox_c
FE3DHBZStonex,fe3dhbzs_e + h_p --> h_c + fe3dhbzs_p
Kt3pp,h_p + k_c --> h_c + k_p
UAGDP,utp_c + h_c + acgam1p_c --> uacgam_c + ppi_c
ASPt2rpp,h_p + asp__L_p <=> asp__L_c + h_c
O2tpp,o2_p <=> o2_c
R5PPpp,h2o_p + r5p_p --> rib__D_p + pi_p
EX_cys__D_e,cys__D_e --> 
HPPPNt2rpp,h_p + 3hpppn_p <=> 3hpppn_c + h_c
LIPOt2pp,lipoate_p + h_p --> lipoate_c + h_c
SHCHD2,dscl_c + nad_c --> scl_c + nadh_c + h_c
ALAt4pp,ala__L_p + na1_p --> na1_c + ala__L_c
ASPt2_3pp,asp__L_p + 3 h_p --> asp__L_c + 3 h_c
ACGALtex,acgal_e <=> acgal_p
ECA4COLIPAabctex,h2o_c + atp_c + eca4colipa_p --> h_c + pi_c + eca4colipa_e + adp_c
NO3tex,no3_e <=> no3_p
OXAMTC,pi_c + oxur_c --> oxam_c + cbp_c
SPODM,2 h_c + 2 o2s_c --> h2o2_c + o2_c
EX_ag_e,ag_e --> 
GLUabcpp,h2o_c + atp_c + glu__L_p --> glu__L_c + pi_c + adp_c + h_c
TPRDCOAS,dpcoa_c + atp_c --> 2tpr3dpcoa_c + ade_c
NTD8,h2o_c + dgmp_c --> pi_c + dgsn_c
NTD9,gmp_c + h2o_c --> pi_c + gsn_c
NTD6,damp_c + h2o_c --> dad__2_c + pi_c
NTD7,amp_c + h2o_c --> adn_c + pi_c
NTD4,h2o_c + cmp_c --> cytd_c + pi_c
NTD5,dtmp_c + h2o_c --> thymd_c + pi_c
NTD2,h2o_c + ump_c --> uri_c + pi_c
NTD3,dcmp_c + h2o_c --> pi_c + dcyt_c
NTD1,h2o_c + dump_c --> pi_c + duri_c
THMDt2rpp,thymd_p + h_p <=> h_c + thymd_c
EX_mn2_e,mn2_e <=> 
METAT,h2o_c + met__L_c + atp_c --> pi_c + ppi_c + amet_c
ME2,mal__L_c + nadp_c --> nadph_c + co2_c + pyr_c
3OAS120,malACP_c + dcaACP_c + h_c --> co2_c + ACP_c + 3oddecACP_c
3OAS121,malACP_c + h_c + cdec3eACP_c --> 3ocddec5eACP_c + co2_c + ACP_c
PLIPA1A160pp,h2o_p + pa160_p --> hdca_p + 2hdecg3p_p
PSD161,h_c + ps161_c --> pe161_c + co2_c
INStex,ins_e <=> ins_p
DOXRBCNtpp,h_p + doxrbcn_p --> doxrbcn_e + h_c
RHCCE,rhcys_c --> hcys__L_c + dhptd_c
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c
CTECOAI6,tdecoa_c <=> td2coa_c
CTECOAI7,hdcoa_c <=> hdd2coa_c
ADSL1r,dcamp_c <=> amp_c + fum_c
PACALDtex,pacald_e <=> pacald_p
EX_met__L_e,met__L_e --> 
CTECOAI8,odecoa_c <=> od2coa_c
G6PDH2r,g6p_c + nadp_c <=> nadph_c + 6pgl_c + h_c
HCYSMT,amet_c + hcys__L_c --> h_c + ahcys_c + met__L_c
Kabcpp,h2o_c + k_p + atp_c --> h_c + k_c + pi_c + adp_c
MELIBt2pp,h_p + melib_p --> melib_c + h_c
PPPNtex,pppn_e <=> pppn_p
EX_tungs_e,tungs_e <=> 
NACODA,h2o_c + acg5sa_c --> ac_c + glu5sa_c
DSERtex,ser__D_e <=> ser__D_p
HG2t3pp,hg2_c + h_p --> hg2_p + h_c
NI2t3pp,h_p + ni2_c --> ni2_p + h_c
GDPMNH,h2o_c + gdpmann_c --> man_c + h_c + gdp_c
BMOCOS,mptamp_c + moco_c --> bmoco_c + amp_c + cu2_c
UM4PL,atp_c + LalaDgluMdapDala_c + uamr_c --> um4p_c + h_c + pi_c + adp_c
ACMUMtex,acmum_e --> acmum_p
LPLIPAL1A120pp,1ddecg3p_p + h2o_p --> glyc3p_p + h_p + ddca_p
GDPMNP,h2o_c + gdpmann_c --> gmp_c + 2 h_c + man1p_c
MMETt2pp,h_p + mmet_p --> mmet_c + h_c
EX_fe3_e,fe3_e <=> 
DHACOAH,23dhacoa_c + h2o_c <=> 3hadpcoa_c
EX_rfamp_e,rfamp_e --> 
MN2tpp,mn2_p --> mn2_c
EX_fe3dhbzs_e,fe3dhbzs_e --> 
PE180abcpp,h2o_c + atp_c + pe180_c --> h_c + pi_c + pe180_p + adp_c
FOMETRi,5fthf_c + h_c --> methf_c + h2o_c
ARBt2rpp,h_p + arab__L_p <=> h_c + arab__L_c
PAPA160,h2o_c + pa160_c --> 12dgr160_c + pi_c
PAPA161,pa161_c + h2o_c --> 12dgr161_c + pi_c
MOADSUx,moadamp_c + iscssh_c + nadh_c --> nad_c + amp_c + moadcosh_c + iscs_c
MALTPTabcpp,atp_c + maltpt_p + h2o_c --> maltpt_c + h_c + adp_c + pi_c
ACACT3r,accoa_c + hxcoa_c <=> 3oocoa_c + coa_c
MINOHPtexi,minohp_e --> minohp_p
RNTR3c2,2 flxr_c + ctp_c + 2 h_c --> 2 flxso_c + dctp_c + h2o_c
PGPP120pp,h2o_p + pgp120_p --> pi_p + pg120_p
FEOXAMtonex,feoxam_e + h_p --> feoxam_p + h_c
FMETTRS,10fthf_c + mettrna_c --> thf_c + h_c + fmettrna_c
GPDDA3pp,g3ps_p + h2o_p --> ser__L_p + h_p + glyc3p_p
PTRCORNt7pp,ptrc_p + orn_c <=> ptrc_c + orn_p
12DGR181tipp,12dgr181_p --> 12dgr181_c
TYRt2rpp,h_p + tyr__L_p <=> h_c + tyr__L_c
NTPP9,itp_c + h2o_c --> imp_c + h_c + ppi_c
NTPP8,h2o_c + utp_c --> ppi_c + h_c + ump_c
NTPP7,dttp_c + h2o_c --> dtmp_c + ppi_c + h_c
NTPP6,atp_c + h2o_c --> h_c + ppi_c + amp_c
NTPP5,h2o_c + datp_c --> damp_c + h_c + ppi_c
NTPP4,h2o_c + ctp_c --> h_c + ppi_c + cmp_c
NTPP3,h2o_c + dctp_c --> dcmp_c + h_c + ppi_c
NTPP2,h2o_c + gtp_c --> gmp_c + h_c + ppi_c
EX_mincyc_e,mincyc_e --> 
GUR1PPpp,glcur1p_p + h2o_p --> pi_p + glcur_p
FCLPA,fc1p_c <=> dhap_c + lald__L_c
F6Pt6_2pp,f6p_p + 2 pi_c --> f6p_c + 2 pi_p
EX_etoh_e,etoh_e --> 
MAN6PI,man6p_c <=> f6p_c
EX_but_e,but_e --> 
EX_galur_e,galur_e --> 
3HAD100,3hdecACP_c --> h2o_c + tdec2eACP_c
HPPPNDO,dhpppn_c + o2_c --> h_c + hkndd_c
LACZ,lcts_c + h2o_c --> gal_c + glc__D_c
DMSOR2pp,2dmmql8_c + dmso_p --> 2dmmq8_c + dms_p + h2o_p
EX_h_e,h_e <=> 
CHLt2pp,chol_p + h_p --> h_c + chol_c
EX_pyr_e,pyr_e --> 
MCITD,2mcit_c --> 2mcacn_c + h2o_c
HIStex,his__L_e <=> his__L_p
PA160abcpp,h2o_c + atp_c + pa160_c --> pa160_p + h_c + pi_c + adp_c
IG3PS,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c
EX_nh4_e,nh4_e <=> 
SULRi,so3_c + 5 h_c + 3 nadph_c --> h2s_c + 3 h2o_c + 3 nadp_c
DINStex,din_e <=> din_p
DNMPPA,h2o_c + dhpmp_c --> pi_c + dhnpt_c
PSSA181,ser__L_c + cdpdodec11eg_c --> ps181_c + h_c + cmp_c
PSSA180,ser__L_c + cdpdodecg_c --> h_c + ps180_c + cmp_c
EX_cu_e,cu_e --> 
SULFACtex,sulfac_e <=> sulfac_p
DRPA,2dr5p_c --> g3p_c + acald_c
DSBDR,dsbdox_c + trdrd_c --> trdox_c + dsbdrd_c
EX_ttrcyc_e,ttrcyc_e --> 
OCTAtex,octa_e <=> octa_p
ACPPAT161,h_c + pi_c + hdeACP_c --> ACP_c + hdceap_c
ACPPAT160,palmACP_c + pi_c + h_c --> hdcap_c + ACP_c
G1PTT,dttp_c + h_c + g1p_c --> dtdpglu_c + ppi_c
CD2tex,cd2_e <=> cd2_p
GALT1,gicolipa_c + udpg_c --> gagicolipa_c + h_c + udp_c
URAtex,ura_e <=> ura_p
TYRL,tyr__L_c + nadph_c + amet_c --> dhgly_c + dad__5_c + nadp_c + met__L_c + 4crsol_c + h_c
TRPS2,indole_c + ser__L_c --> h2o_c + trp__L_c
NNATr,atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c
EX_LalaDgluMdap_e,LalaDgluMdap_e --> 
PE161abcpp,h2o_c + atp_c + pe161_c --> pe161_p + h_c + pi_c + adp_c
EAR141y,t3c7mrseACP_c + h_c + nadph_c --> tdeACP_c + nadp_c
EAR141x,t3c7mrseACP_c + nadh_c + h_c --> nad_c + tdeACP_c
SDPDS,sl26da_c + h2o_c --> succ_c + 26dap__LL_c
CRNCAL2,crn_c + coa_c + atp_c --> crncoa_c + pi_c + adp_c
EX_gdp_e,gdp_e --> 
PPBNGS,2 5aop_c --> ppbng_c + 2 h2o_c + h_c
MLTG1,h2o_c + malttr_c --> malt_c + glc__D_c
SULFACabcpp,h2o_c + atp_c + sulfac_p --> h_c + pi_c + adp_c + sulfac_c
LPLIPAL1G161pp,1agpg161_p + h2o_p --> h_p + hdcea_p + g3pg_p
MLTG3,h2o_c + maltpt_c --> maltttr_c + glc__D_c
MLTG2,h2o_c + maltttr_c --> glc__D_c + malttr_c
TYRPpp,tyrp_p + h2o_p --> tyr__L_p + pi_p
HISTRS,atp_c + his__L_c + trnahis_c --> histrna_c + amp_c + ppi_c
CBPS,gln__L_c + h2o_c + 2 atp_c + hco3_c --> glu__L_c + cbp_c + 2 adp_c + pi_c + 2 h_c
MALDt2_2pp,2 h_p + mal__D_p --> mal__D_c + 2 h_c
AGM3PA,anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c
AGM3PH,anhgm3p_c + h2o_c --> anhm3p_c + acgam_c
TMDK1,atp_c + thymd_c --> adp_c + dtmp_c + h_c
LPLIPAL1A160pp,h2o_p + 1hdecg3p_p --> hdca_p + h_p + glyc3p_p
PGP140abcpp,h2o_c + pgp140_c + atp_c --> h_c + pi_c + adp_c + pgp140_p
PHYTSpp,minohp_p + 6 h2o_p --> inost_p + 6 pi_p
12DGR141tipp,12dgr141_p --> 12dgr141_c
EX_gly_e,gly_e --> 
LPLIPAL2ATG161,pg161_c + 2agpg161_c --> apg161_c + g3pg_c
LPLIPAL2ATG160,2agpg160_c + pg160_c --> apg160_c + g3pg_c
EX_orn_e,orn_e --> 
GLYC3Pabcpp,h2o_c + atp_c + glyc3p_p --> glyc3p_c + h_c + adp_c + pi_c
EAR80x,nadh_c + h_c + toct2eACP_c --> nad_c + ocACP_c
EAR80y,nadph_c + toct2eACP_c + h_c --> ocACP_c + nadp_c
HOMt2pp,h_p + hom__L_c --> hom__L_p + h_c
TSULabcpp,h2o_c + tsul_p + atp_c --> tsul_c + pi_c + adp_c + h_c
DHFR,nadph_c + h_c + dhf_c <=> thf_c + nadp_c
DHFS,atp_c + dhpt_c + glu__L_c --> dhf_c + pi_c + adp_c + h_c
SUCMALtpp,succ_c + mal__L_p --> succ_p + mal__L_c
NH4tpp,nh4_p <=> nh4_c
VALTA,akg_c + val__L_c <=> glu__L_c + 3mob_c
MPTSS,atp_c + moadcoo_c + h_c --> ppi_c + moadamp_c
TMAOR1,tmao_c + h_c + mql8_c --> mqn8_c + tma_c + h2o_c
R5PP,h2o_c + r5p_c --> rib__D_c + pi_c
OGMEACPD,hgmeACP_c --> egmeACP_c + h2o_c
LPLIPAL2A120,2ddecg3p_c + h2o_c --> glyc3p_c + ddca_c + 2 h_c
CFAS160G,pg161_c + 2 amet_c --> 2 h_c + 2 ahcys_c + cpg160_c
EX_cpgn_e,cpgn_e --> 
CFAS160E,2 amet_c + pe161_c --> cpe160_c + 2 h_c + 2 ahcys_c
ICHORS,chor_c <=> ichor_c
ADK4,amp_c + itp_c <=> idp_c + adp_c
ADK3,amp_c + gtp_c <=> adp_c + gdp_c
ACALDtpp,acald_p <=> acald_c
EX_sucr_e,sucr_e --> 
PLIPA2E141pp,pe141_p + h2o_p --> h_p + ttdcea_p + 1agpe141_p
OGMEACPR,nadph_c + h_c + ogmeACP_c --> hgmeACP_c + nadp_c
OGMEACPS,malACP_c + malcoame_c + h_c --> ogmeACP_c + co2_c + coa_c
GLYALDtpp,glyald_p <=> glyald_c
FEROpp,4 fe2_p + 4 h_p + o2_p --> 4 fe3_p + 2 h2o_p
EX_rmn_e,rmn_e --> 
PLIPA1G161pp,pg161_p + h2o_p --> h_p + 2agpg161_p + hdcea_p
EX_gal_e,gal_e --> 
APG3PAT180,ocdcap_c + glyc3p_c --> pi_c + h_c + 1odecg3p_c
SADH,2 h2o_c + 2 h_c + sucarg_c --> 2 nh4_c + co2_c + sucorn_c
LALALGLUtpp,LalaLglu_p + h_p --> LalaLglu_c + h_c
PA161abcpp,h2o_c + atp_c + pa161_c --> h_c + pa161_p + adp_c + pi_c
CRNCDH,crncoa_c <=> ctbtcoa_c + h2o_c
PGPP141,h2o_c + pgp141_c --> pi_c + pg141_c
PGPP140,pgp140_c + h2o_c --> pi_c + pg140_c
CYTDt2rpp,h_p + cytd_p <=> h_c + cytd_c
TDPADGAT,dtdp4addg_c + accoa_c --> dtdp4aaddg_c + coa_c + h_c
EX_succ_e,succ_e --> 
EX_acmana_e,acmana_e --> 
EX_feoxam_e,feoxam_e --> 
AMMQLT8,2dmmql8_c + amet_c --> h_c + ahcys_c + mql8_c
USHD,h2o_c + u23ga_c --> lipidX_c + ump_c + 2 h_c
UAAGDS,uamag_c + atp_c + 26dap__M_c --> h_c + ugmd_c + pi_c + adp_c
GLCP2,pi_c + bglycogen_c --> g1p_c
EX_fusa_e,fusa_e --> 
PG180abcpp,h2o_c + atp_c + pg180_c --> pg180_p + pi_c + adp_c + h_c
M1PD,mnl1p_c + nad_c <=> f6p_c + nadh_c + h_c
EX_fru_e,fru_e --> 
G3PCabcpp,h2o_c + atp_c + g3pc_p --> g3pc_c + h_c + pi_c + adp_c
ACONMT,acon__T_c + amet_c --> ahcys_c + aconm_c
DUTPDP,dutp_c + h2o_c --> dump_c + ppi_c + h_c
TREptspp,pep_c + tre_p --> tre6p_c + pyr_c
GALCTtex,galct__D_e <=> galct__D_p
ALR2,nadph_c + h_c + mthgxl_c --> acetol_c + nadp_c
ENTERES,enter_c + 3 h2o_c --> 3 23dhbzs_c + 3 h_c
TUNGStex,tungs_e <=> tungs_p
EX_g3ps_e,g3ps_e --> 
ACNAMt2pp,h_p + acnam_p --> h_c + acnam_c
FMNRx2,nadph_c + fmn_c + h_c --> fmnh2_c + nadp_c
DHDPRy,h_c + 23dhdp_c + nadph_c --> thdp_c + nadp_c
O16AT,ragund_c + accoa_c --> coa_c + aragund_c
DSBAO2,mqn8_c + dsbard_p --> mql8_c + dsbaox_p
DSBAO1,q8_c + dsbard_p --> q8h2_c + dsbaox_p
EX_g3pi_e,g3pi_e --> 
EX_enter_e,enter_e --> 
MINCYCtex,mincyc_e <=> mincyc_p
SO3tex,so3_e <=> so3_p
PGCD,nad_c + 3pg_c --> nadh_c + h_c + 3php_c
EX_cu2_e,cu2_e <=> 
3OXCOAT,oxadpcoa_c + coa_c --> succoa_c + accoa_c
DMSOR1pp,mql8_c + dmso_p --> mqn8_c + dms_p + h2o_p
PLIPA1E161pp,h2o_p + pe161_p --> h_p + 2agpe161_p + hdcea_p
URIt2rpp,h_p + uri_p <=> h_c + uri_c
EX_hacolipa_e,hacolipa_e --> 
2AGPE161tipp,2agpe161_p --> 2agpe161_c
METDtex,met__D_e <=> met__D_p
TMAOtex,tmao_e <=> tmao_p
CYANtex,cyan_e <=> cyan_p
EX_acgam1p_e,acgam1p_e --> 
ORNDC,orn_c + h_c --> co2_c + ptrc_c
APG3PAT161,glyc3p_c + hdceap_c --> h_c + pi_c + 1hdec9eg3p_c
APG3PAT160,hdcap_c + glyc3p_c --> pi_c + h_c + 1hdecg3p_c
CYTDt2pp,h_p + cytd_p --> h_c + cytd_c
PGPP180pp,pgp180_p + h2o_p --> pg180_p + pi_p
FEENTERabcpp,h2o_c + feenter_p + atp_c --> h_c + feenter_c + adp_c + pi_c
URACPAH,uracp_c + h2o_c --> poaac_c + cbm_c + h_c
EX_malttr_e,malttr_e --> 
PDE4,35cgmp_c + h2o_c --> gmp_c + h_c
